network,treatment,lambda,seconds,incumbent_scale,claimed_gc,claimed_unserved,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,n_route_periods_moved
splice|007|101|EMO4THW,path_level,4.0,91.60514736175537,1.0,1789495.344889652,9776.1349059967,1789495.344889652,9776.1349059967,21172.865094003304,84.51833688755154,2515.4237489512416,1.2074625504160164,-6.852676467733454,3.51630187032852,-2.2304113247831325,-0.06990290928716725,0.0,108
splice|008|035|BOASHAN,route_level,1.0,6.435591697692871,1.0,1673095.5484070135,3002.4713955110083,1807700.3776047756,9993.662402814447,20955.337597185553,86.26443593290342,2436.7625505074157,2.014288656162355,-4.312260779716648,2.1964149768275654,-0.1782120446265245,-3.194871893555007,-69.95624552350856,133
splice|008|035|BOASHAN,route_level,2.0,6.3275487422943115,1.0,1677147.003920904,2921.666993901818,1807435.4896309108,9965.213945224827,20983.786054775173,86.13486074023338,2441.975399713756,1.9993401843015457,-4.584650268307766,2.3351543487797333,-0.3281513245523393,-2.9877813277900844,-70.68134201672775,136
splice|008|035|BOASHAN,route_level,4.0,6.244478464126587,1.0,1679655.277926495,2882.0988385410405,1806748.477881341,9955.52827632719,20993.47172367281,86.06239604686262,2447.8306115007613,1.9605699235885066,-4.677389018357003,2.3823900773095374,-0.412004597082094,-2.7551716600925147,-71.05026716267527,135
splice|008|035|BOASHAN,path_level,1.0,84.88983964920044,1.0,1712674.9220530984,10907.320299564928,1712674.9220530984,10907.320299564928,20041.679700435074,85.45565779179272,2514.329518532011,-3.348300394782433,4.43586928881472,-2.2593739662104206,-1.1140980703311265,-0.11337333930075966,0.0,108
splice|008|035|BOASHAN,path_level,2.0,90.32092237472534,1.0,1785859.1098319974,9837.526788972158,1785859.1098319974,9837.526788972158,21111.473211027842,84.59187532678352,2513.6204685926245,0.7817163655369441,-5.807234623953406,2.9578677528034225,-2.113632920692665,-0.14154172616385186,0.0,107
splice|008|035|BOASHAN,path_level,4.0,91.47177338600159,1.0,1791614.7225257505,9797.784731213917,1791614.7225257505,9797.784731213917,21151.215268786087,84.70504884746393,2513.077306051904,1.10652391772188,-6.18775855057484,3.1516845218179323,-1.9826730058523312,-0.1631199137168915,0.0,103
splice|011|033|WESHIGW,route_level,1.0,6.518100738525391,1.000090852748455,1694220.1454325928,3032.367731285605,1799589.7105912897,9901.768701245537,21047.231298754465,85.50244376787867,2437.8055028362332,1.8091496191939394,-5.308135261533553,2.7086579773990316,-0.8757863026533141,-3.153438585340762,-69.37549418919305,131
splice|011|033|WESHIGW,route_level,2.0,6.073714017868042,1.000090852748455,1698476.2649151287,2950.639865166274,1794245.499763777,9940.988857283544,21008.01114271646,85.40768031655615,2443.4284984962105,1.5068087264156649,-4.933067955618265,2.517267027437553,-0.9856469357025,-2.9300541545956627,-70.31844711299114,135
splice|011|033|WESHIGW,route_level,4.0,6.11859393119812,1.000090852748455,1700474.8118955977,2924.465743100532,1793638.6033593446,9934.493106987098,21014.506893012902,85.35240024859733,2445.5095478789262,1.4724744520649313,-4.995187636152565,2.548965723861496,-1.0497339141335438,-2.8473804233994593,-70.56250669655499,135
splice|011|033|WESHIGW,path_level,1.0,86.28492641448975,1.000090852748455,1727070.946217661,10557.45124254064,1727070.946217661,10557.45124254064,20391.548757459368,84.69542783433194,2514.834921921524,-2.2934931603582953,0.9622396972230218,-0.491015790599858,-1.8113714897997735,-0.09329520741342412,0.0,107
splice|011|033|WESHIGW,path_level,2.0,89.13974666595459,1.000090852748455,1783946.343386127,9789.445622069155,1783946.343386127,9789.445622069155,21159.55437793085,84.30925866977428,2513.278362997813,0.9241490532509777,-6.382295054726872,3.256784833532289,-2.2590629604068324,-0.15513253579148012,0.0,103
splice|011|033|WESHIGW,path_level,4.0,88.41602039337158,1.000090852748455,1789061.716235317,9755.61182790918,1789061.716235317,9755.61182790918,21193.388172090825,84.41603115594792,2514.3377761225493,1.2135437728896248,-6.705851901675075,3.4218908060532405,-2.1352800804086303,-0.11304529046821665,0.0,101
splice|011|034|WESHIGW,route_level,1.0,7.0496063232421875,1.0,1686249.457067384,3043.6849111954675,1830329.8370669011,9725.801980940116,21223.198019059884,86.2419431521649,2436.5981153224234,3.431943152483008,-6.980480164317737,3.5614251315969625,-0.12502915921579483,-3.201404400854524,-68.7050495459372,131
splice|011|034|WESHIGW,route_level,2.0,6.8723461627960205,1.0,1690619.2022105576,2961.09391213863,1829358.3192888214,9744.973731995176,21204.026268004825,86.27410172799004,2441.4290758554043,3.377042680688813,-6.797117693948107,3.4678740155141163,-0.08778699252259825,-3.0094851048299676,-69.6141416737059,132
splice|011|034|WESHIGW,route_level,4.0,6.179985761642456,1.0,1693855.9714108943,2906.0024504606326,1827119.5411754618,9759.1850222785,21189.8149777215,86.22630934231633,2449.879529695253,3.250529324537066,-6.661198064801754,3.398528129310807,-0.14313434383578238,-2.673774402794671,-70.2228982868268,134
splice|011|034|WESHIGW,path_level,1.0,82.26135802268982,1.0,1738840.688171659,10445.336425359616,1738840.688171659,10445.336425359616,20503.663574640384,84.80634116150419,2514.810756487251,-1.7381088545180945,-0.09870849589367348,0.05036085050063033,-1.78756946983043,-0.09425522625483573,0.0,108
splice|011|034|WESHIGW,path_level,2.0,90.78872561454773,1.0,1787084.1295641689,9754.969670750388,1787084.1295641689,9754.969670750388,21194.030329249614,84.32016477290007,2514.3822760235607,0.988128125580845,-6.701514531850128,3.4190974992658107,-2.350600065623487,-0.11127744541608031,0.0,104
splice|011|034|WESHIGW,path_level,4.0,89.33978962898254,1.0,1791732.3533933535,9727.256294440393,1791732.3533933535,9727.256294440393,21221.74370555961,84.42908265469066,2514.082981295857,1.2507992644782195,-6.96657081846107,3.554328614920177,-2.224464569711926,-0.12316751014599392,0.0,100
splice|033|034|WESHIGW,route_level,1.0,6.076893091201782,1.0002218087677364,1701025.5711790752,3134.4535624791006,1789593.9746306885,10104.778746128983,20844.22125387102,85.8556408912777,2438.7384590775246,0.7884534096406659,-2.793748631635573,1.4129529328186452,-0.6157985790944176,-3.1163750854781624,-68.98048298504436,132
splice|033|034|WESHIGW,route_level,2.0,6.108079433441162,1.0002218087677364,1707341.8318308622,3029.2669713278992,1783199.7839713353,10160.638022215875,20788.361977784127,85.77875379873534,2443.118106735973,0.4283378770123303,-2.2563919047861702,1.1411819672514145,-0.7048010280025108,-2.9423850705097787,-70.18625243115133,135
splice|033|034|WESHIGW,route_level,4.0,5.978476524353027,1.0002218087677364,1708911.3594437693,2990.1469349642825,1782302.0520965722,10138.154913995895,20810.84508600411,85.64294456716809,2450.0263485049554,0.37777835987238273,-2.472675578489636,1.2505685626020613,-0.8620101744811981,-2.6679417402405314,-70.50600468891697,136
splice|033|034|WESHIGW,path_level,1.0,84.52841544151306,1.0002218087677364,1718141.0240287504,10721.919665104302,1718141.0240287504,10721.919665104302,20227.080334895698,84.94261136960131,2514.1991773989644,-3.235717706721619,3.143041950998393,-1.5896098497721334,-1.672697216662422,-0.11855139412579874,0.0,109
splice|033|034|WESHIGW,path_level,2.0,92.0904369354248,1.0002218087677364,1787365.4029097548,9764.764521571717,1787365.4029097548,9764.764521571717,21184.235478428283,84.3724289568917,2515.99472364952,0.6629420924092022,-6.064627590147631,3.0672170154890877,-2.332725179451145,-0.047219829722910944,0.0,107
splice|033|034|WESHIGW,path_level,4.0,90.20395994186401,1.0002218087677364,1791725.8605732343,9739.893643807509,1791725.8605732343,9739.893643807509,21209.106356192497,84.47908320522414,2514.5014428356435,0.908519463751789,-6.303881200388783,3.1882207759740933,-2.209265064441457,-0.10654331220835145,0.0,105
