period,od_index,flow,route,n_same_route_patterns,n_other_routes,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving,saving_same_route_min,flow_weighted_saving_same_route,saving_cross_route_only_min,flow_weighted_saving_cross_route
am_peak,601,0.20610962698370655,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598,0.0,0.0,1.5,0.3091644404755598
am_peak,603,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,633,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,634,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,634,0.20610962698370655,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.7213836944429729,0.0,0.0,3.5,0.7213836944429729
am_peak,635,2.267205896820772,102,1,1,2,30.0,10.0,10.5,5.0,11.0,24.93926486502849,0.0,0.0,11.0,24.93926486502849
am_peak,639,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,640,0.46374666071333975,102,1,1,2,30.0,10.0,10.5,5.0,11.0,5.101213267846737,0.0,0.0,11.0,5.101213267846737
am_peak,641,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,644,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,646,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,651,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,661,0.10305481349185328,021,1,1,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,0.9636294248588879,0.0,0.0,9.350649350649352,0.9636294248588879
