route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
008,owl,80.0,80.0,0.0,13.65,13.65,0.0,91.0,unchanged
008,evening,16.0,16.0,0.0,46.333333333333336,46.333333333333336,0.0,92.66666666666667,unchanged
008,midday,15.0,15.0,0.0,78.68333333333334,78.68333333333334,0.0,98.35416666666667,unchanged
006,owl,90.0,90.0,0.0,5.066666666666666,5.066666666666666,0.0,38.0,unchanged
001,pm_peak,15.0,15.0,0.0,36.833333333333336,36.833333333333336,0.0,92.08333333333333,unchanged
002,am_peak,15.0,15.0,0.0,32.733333333333334,32.733333333333334,0.0,81.83333333333333,unchanged
001,midday,15.0,15.0,0.0,71.45,71.45,0.0,89.3125,unchanged
003,midday,28.8,28.8,0.0,32.416666666666664,32.416666666666664,0.0,77.8,unchanged
002,evening,15.0,15.0,0.0,43.85,43.85,0.0,82.21875,unchanged
002,midday,14.4,14.4,0.0,75.5,75.5,0.0,90.6,unchanged
004,owl,120.0,120.0,0.0,7.933333333333334,7.933333333333334,0.0,79.33333333333333,unchanged
004,am_peak,30.0,30.0,0.0,14.583333333333334,14.583333333333334,0.0,72.91666666666667,unchanged
005,owl,144.0,144.0,0.0,7.916666666666667,7.916666666666667,0.0,95.0,unchanged
009,am_peak,60.0,60.0,0.0,9.75,9.75,0.0,97.5,unchanged
009,early,60.0,60.0,0.0,6.266666666666667,6.266666666666667,0.0,94.0,unchanged
035,early,60.0,60.0,0.0,3.1,3.1,0.0,46.5,unchanged
033,midday,30.0,30.0,0.0,17.216666666666665,17.216666666666665,0.0,43.041666666666664,unchanged
032,early,80.0,80.0,0.0,2.933333333333333,2.933333333333333,0.0,58.666666666666664,unchanged
031,owl,90.0,90.0,0.0,7.966666666666667,7.966666666666667,0.0,59.75,unchanged
032,owl,144.0,144.0,0.0,4.783333333333333,4.783333333333333,0.0,57.4,unchanged
033,early,60.0,60.0,0.0,2.6166666666666667,2.6166666666666667,0.0,39.25,unchanged
033,pm_peak,30.0,30.0,0.0,9.466666666666667,9.466666666666667,0.0,47.333333333333336,unchanged
025,owl,120.0,120.0,0.0,5.583333333333333,5.583333333333333,0.0,55.833333333333336,unchanged
033,am_peak,30.0,30.0,0.0,8.683333333333334,8.683333333333334,0.0,43.416666666666664,unchanged
031,evening,30.0,30.0,0.0,17.333333333333332,17.333333333333332,0.0,65.0,unchanged
033,owl,72.0,72.0,0.0,6.65,6.65,0.0,39.9,unchanged
023,evening,15.0,15.0,0.0,21.85,21.85,0.0,40.96875,unchanged
021,owl,240.0,240.0,0.0,3.1166666666666667,3.1166666666666667,0.0,62.333333333333336,unchanged
010,owl,90.0,90.0,0.0,10.616666666666667,10.616666666666667,0.0,79.625,unchanged
009,owl,180.0,180.0,0.0,6.833333333333333,6.833333333333333,0.0,102.5,unchanged
009,evening,80.0,80.0,0.0,10.0,10.0,0.0,100.0,unchanged
006,early,60.0,60.0,0.0,2.466666666666667,2.466666666666667,0.0,37.0,unchanged
005,early,60.0,60.0,0.0,6.016666666666667,6.016666666666667,0.0,90.25,unchanged
024,owl,90.0,90.0,0.0,9.05,9.05,0.0,67.875,unchanged
024,midday,30.0,30.0,0.0,29.016666666666666,29.016666666666666,0.0,72.54166666666667,unchanged
025,early,80.0,80.0,0.0,2.783333333333333,2.783333333333333,0.0,55.666666666666664,unchanged
023,early,60.0,60.0,0.0,2.7333333333333334,2.7333333333333334,0.0,41.0,unchanged
023,pm_peak,15.0,15.0,0.0,20.266666666666666,20.266666666666666,0.0,50.666666666666664,unchanged
023,am_peak,15.0,15.0,0.0,17.733333333333334,17.733333333333334,0.0,44.333333333333336,unchanged
024,pm_peak,30.0,30.0,0.0,15.366666666666667,15.366666666666667,0.0,76.83333333333333,unchanged
024,am_peak,30.0,30.0,0.0,14.1,14.1,0.0,70.5,unchanged
024,early,60.0,60.0,0.0,4.316666666666666,4.316666666666666,0.0,64.75,unchanged
011,owl,180.0,180.0,0.0,5.7,5.7,0.0,85.5,unchanged
021,early,120.0,120.0,0.0,2.033333333333333,2.033333333333333,0.0,61.0,unchanged
021,evening,60.0,60.0,0.0,8.3,8.3,0.0,62.25,unchanged
141,pm_peak,120.0,120.0,0.0,2.1666666666666665,2.1666666666666665,0.0,43.333333333333336,unchanged
141,midday,144.0,144.0,0.0,3.566666666666667,3.566666666666667,0.0,42.8,unchanged
044,pm_peak,180.0,180.0,0.0,0.4,0.4,0.0,24.0,unchanged
044,am_peak,180.0,180.0,0.0,0.5333333333333333,0.5333333333333333,0.0,32.0,unchanged
101,owl,60.0,60.0,0.0,9.7,9.7,0.0,48.5,unchanged
102,early,48.0,48.0,0.0,5.483333333333333,5.483333333333333,0.0,65.8,unchanged
102,owl,120.0,120.0,0.0,6.816666666666666,6.816666666666666,0.0,68.16666666666667,unchanged
072,pm_peak,90.0,90.0,0.0,1.5333333333333334,1.5333333333333334,0.0,46.0,unchanged
