period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,494,0.2576370337296332,102,3,30.0,10.0,10.5,5.0,11.0,2.8340073710259652
am_peak,495,0.15458222023777993,004,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,496,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,496,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,497,0.15458222023777993,004,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,497,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,497,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,502,0.10305481349185328,007,6,30.0,4.285714285714286,10.5,2.142857142857143,16.714285714285715,1.722487596935262
am_peak,505,0.10305481349185328,010,2,28.8,14.399999999999999,10.2,6.6,7.199999999999999,0.7419946571413435
am_peak,510,0.3606918472214865,004,2,30.0,15.0,10.5,6.75,7.5,2.7051888541611486
am_peak,510,0.3606918472214865,034,2,15.0,12.0,6.75,6.0,1.5,0.5410377708322298
am_peak,511,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,511,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,512,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,512,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,514,0.20610962698370655,004,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,514,0.20610962698370655,034,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598
am_peak,515,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,515,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,516,0.15458222023777993,004,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,516,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,518,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,518,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,519,0.15458222023777993,004,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,521,0.15458222023777993,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,2.2524837806076508
am_peak,523,0.15458222023777993,022,3,31.764705882352942,10.588235294117649,10.941176470588236,5.294117647058824,11.294117647058822,1.7458697815090438
am_peak,524,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,526,0.20610962698370655,004,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,527,0.5152740674592664,004,2,30.0,15.0,10.5,6.75,7.5,3.864555505944498
am_peak,528,0.10305481349185328,007,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,532,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,532,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,535,3.0401169980096716,002,2,30.0,15.0,10.5,6.75,7.5,22.800877485072537
am_peak,536,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
