route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_trips,optimized_trips,baseline_veh_hours,optimized_veh_hours,veh_hours_change,demand_potential,runtime_min,direction
033,pm_peak,30.0,20.0,-10.0,12.0,18.0,9.466666666666667,14.2,4.7333333333333325,393.86913348981227,47.333333333333336,more service
005,pm_peak,30.0,24.0,-6.0,12.0,15.0,19.483333333333334,24.354166666666668,4.870833333333334,635.1098179374351,97.41666666666667,more service
009,pm_peak,60.0,40.0,-20.0,6.0,9.0,9.916666666666666,14.875,4.958333333333334,313.364879224005,99.16666666666667,more service
141,midday,144.0,60.0,-84.0,5.0,12.0,3.566666666666667,8.559999999999999,4.993333333333332,31.218001593753925,42.8,more service
073,am_peak,90.0,30.0,-60.0,4.0,12.0,2.5833333333333335,7.75,5.166666666666666,192.26614040917462,38.75,more service
021,am_peak,51.42857142857143,30.0,-21.42857142857143,7.0,12.0,7.266666666666667,12.457142857142857,5.190476190476191,253.09035076661218,62.285714285714285,more service
075,pm_peak,180.0,20.0,-160.0,1.0,9.0,0.65,5.85,5.199999999999999,232.96327331164406,39.0,more service
033,owl,72.0,40.0,-32.0,10.0,18.0,6.65,11.969999999999999,5.3199999999999985,65.6448555816354,39.9,more service
102,early,48.0,24.0,-24.0,5.0,10.0,5.483333333333333,10.966666666666667,5.483333333333333,129.91295107743534,65.8,more service
035,evening,53.333333333333336,30.0,-23.333333333333336,9.0,16.0,7.1,12.622222222222224,5.522222222222224,107.62934508057722,47.333333333333336,more service
074,am_peak,180.0,24.0,-156.0,1.0,7.5,0.85,6.375,5.525,219.87413084145064,51.0,more service
033,evening,30.0,20.0,-10.0,16.0,24.0,11.116666666666667,16.675,5.558333333333334,196.93456674490614,41.6875,more service
035,pm_peak,72.0,30.0,-42.0,5.0,12.0,4.15,9.959999999999999,5.809999999999999,215.25869016115445,49.8,more service
074,pm_peak,180.0,24.0,-156.0,1.0,7.5,0.9,6.75,5.85,239.8626881906734,54.0,more service
032,am_peak,60.0,30.0,-30.0,6.0,12.0,6.266666666666667,12.533333333333333,6.266666666666667,307.8495684567363,62.666666666666664,more service
032,pm_peak,60.0,30.0,-30.0,6.0,12.0,6.383333333333334,12.766666666666667,6.383333333333334,335.8358928618941,63.833333333333336,more service
003,midday,28.8,24.0,-4.800000000000001,25.0,30.0,32.416666666666664,38.9,6.483333333333334,620.2171080437206,77.8,more service
031,midday,30.0,24.0,-6.0,24.0,30.0,26.4,33.0,6.600000000000001,392.6426633290756,66.0,more service
073,pm_peak,90.0,24.0,-66.0,4.0,15.0,2.45,9.1875,6.7375,209.74488044637232,36.75,more service
024,midday,30.0,24.0,-6.0,24.0,30.0,29.016666666666666,36.270833333333336,7.25416666666667,466.2407802802991,72.54166666666667,more service
011,am_peak,60.0,30.0,-30.0,6.0,12.0,7.6,15.2,7.6,322.9543558702899,76.0,more service
011,pm_peak,60.0,30.0,-30.0,6.0,12.0,7.65,15.3,7.65,352.31384276758894,76.5,more service
009,evening,80.0,45.0,-35.0,6.0,10.666666666666666,10.0,17.777777777777775,7.777777777777775,156.6824396120025,100.0,more service
025,pm_peak,60.0,30.0,-30.0,6.0,12.0,7.833333333333333,15.666666666666666,7.833333333333333,455.51158622104197,78.33333333333333,more service
043,am_peak,180.0,24.0,-156.0,2.0,15.0,1.25,9.375,8.125,234.07117646667862,37.5,more service
021,evening,60.0,30.0,-30.0,8.0,16.0,8.3,16.6,8.3,138.04928223633388,62.25,more service
033,midday,30.0,20.0,-10.0,24.0,36.0,17.216666666666665,25.825,8.608333333333334,541.5700585484919,43.041666666666664,more service
025,am_peak,51.42857142857143,24.0,-27.42857142857143,7.0,15.0,7.816666666666666,16.75,8.933333333333334,417.5522873692885,67.0,more service
005,midday,30.0,24.0,-6.0,24.0,30.0,38.8,48.5,9.700000000000003,873.2759996639734,97.0,more service
043,pm_peak,180.0,24.0,-156.0,2.0,15.0,1.5,11.25,9.75,255.35037432728575,45.0,more service
102,evening,32.0,20.0,-12.0,15.0,24.0,17.65,28.24,10.59,311.7910825858448,70.6,more service
011,evening,68.57142857142857,30.0,-38.57142857142857,7.0,16.0,9.1,20.8,11.700000000000001,176.15692138379447,78.0,more service
025,evening,60.0,24.0,-36.0,8.0,20.0,7.983333333333333,19.958333333333332,11.974999999999998,227.75579311052098,59.875,more service
032,evening,60.0,24.0,-36.0,8.0,20.0,8.166666666666666,20.416666666666668,12.250000000000002,167.91794643094704,61.25,more service
021,midday,60.0,30.0,-30.0,12.0,24.0,12.716666666666667,25.433333333333334,12.716666666666667,379.63552614991823,63.583333333333336,more service
035,midday,60.0,24.0,-36.0,12.0,30.0,9.466666666666667,23.666666666666668,14.200000000000001,295.9806989715874,47.333333333333336,more service
102,midday,30.0,20.0,-10.0,24.0,36.0,30.416666666666668,45.625,15.208333333333332,857.4254771110732,76.04166666666667,more service
032,midday,60.0,24.0,-36.0,12.0,30.0,12.833333333333334,32.083333333333336,19.25,461.7743526851044,64.16666666666667,more service
009,midday,60.0,30.0,-30.0,12.0,24.0,19.866666666666667,39.733333333333334,19.866666666666667,430.87670893300697,99.33333333333333,more service
011,midday,60.0,24.0,-36.0,12.0,30.0,15.3,38.25,22.95,484.43153380543487,76.5,more service
025,midday,55.38461538461539,20.0,-35.38461538461539,13.0,36.0,14.049999999999999,38.9076923076923,24.857692307692304,626.3284310539328,64.84615384615384,more service
